Most common words,DonaldTrump.txt Relative frequency,hillaryClinton.txt Relative frequency,Relative frequency difference
homemak,0.0,0.0015105740181268882,0.0015105740181268882
howel,0.0,0.0015105740181268882,0.0015105740181268882
dorothi,0.0,0.0015105740181268882,0.0015105740181268882
social,0.0,0.0015105740181268882,0.0015105740181268882
found,0.0,0.0015105740181268882,0.0015105740181268882
success,0.0,0.0015105740181268882,0.0015105740181268882
textil,0.0,0.0015105740181268882,0.0015105740181268882
french,0.0,0.0015105740181268882,0.0015105740181268882
small,0.0,0.0015105740181268882,0.0015105740181268882
orchestra,0.0,0.0015105740181268882,0.0015105740181268882
manag,0.0,0.0015105740181268882,0.0015105740181268882
old,0.0,0.0015105740181268882,0.0015105740181268882
dutch,0.0,0.0015105740181268882,0.0015105740181268882
quebec,0.0,0.0015105740181268882,0.0015105740181268882
canadian,0.0,0.0015105740181268882,0.0015105740181268882
live,0.0,0.0015105740181268882,0.0015105740181268882
scottish,0.0,0.0015105740181268882,0.0015105740181268882
toni,0.0,0.0015105740181268882,0.0015105740181268882
favorit,0.0,0.0015105740181268882,0.0015105740181268882
among,0.0,0.0015105740181268882,0.0015105740181268882
swim,0.0,0.0015105740181268882,0.0015105740181268882
concern,0.0,0.0015105740181268882,0.0015105740181268882
softbal,0.0,0.0015105740181268882,0.0015105740181268882
badg,0.0,0.0015105740181268882,0.0015105740181268882
browni,0.0,0.0015105740181268882,0.0015105740181268882
scout,0.0,0.0015105740181268882,0.0015105740181268882
inspir,0.0,0.0015105740181268882,0.0015105740181268882
space,0.0,0.0015105740181268882,0.0015105740181268882
briefli,0.0,0.0015105740181268882,0.0015105740181268882
center,0.0,0.0015105740181268882,0.0015105740181268882
illinoi,0.0,0.0015105740181268882,0.0015105740181268882
sent,0.0,0.0015105740181268882,0.0015105740181268882
gener,0.0,0.0015105740181268882,0.0015105740181268882
virginia,0.0,0.0015105740181268882,0.0015105740181268882
tim,0.0,0.0015105740181268882,0.0015105740181268882
kain,0.0,0.0015105740181268882,0.0015105740181268882
mate,0.0,0.0015105740181268882,0.0015105740181268882
oppon,0.0,0.0015105740181268882,0.0015105740181268882
million,0.0,0.0015105740181268882,0.0015105740181268882
luther,0.0,0.0015105740181268882,0.0015105740181268882
loss,0.0,0.0015105740181268882,0.0015105740181268882
wrote,0.0,0.0015105740181268882,0.0015105740181268882
third,0.0,0.0015105740181268882,0.0015105740181268882
memoir,0.0,0.0015105740181268882,0.0015105740181268882
happen,0.0,0.0015105740181268882,0.0015105740181268882
launch,0.0,0.0015105740181268882,0.0015105740181268882
onward,0.0,0.0015105740181268882,0.0015105740181268882
togeth,0.0,0.0015105740181268882,0.0015105740181268882
martin,0.0,0.0015105740181268882,0.0015105740181268882
dedic,0.0,0.0015105740181268882,0.0015105740181268882
fundrais,0.0,0.0015105740181268882,0.0015105740181268882
group,0.0,0.0015105740181268882,0.0015105740181268882
right,0.0,0.0015105740181268882,0.0015105740181268882
join,0.0,0.0015105740181268882,0.0015105740181268882
faculti,0.0,0.0015105740181268882,0.0015105740181268882
affair,0.0,0.0015105740181268882,0.0015105740181268882
columbia,0.0,0.0015105740181268882,0.0015105740181268882
