Most common words,Absolute frequency,Relative frequency
younger,1.0,0.0015105740181268882
brother,1.0,0.0015105740181268882
toni,1.0,0.0015105740181268882
child,1.0,0.0015105740181268882
favorit,1.0,0.0015105740181268882
among,1.0,0.0015105740181268882
swim,1.0,0.0015105740181268882
softbal,1.0,0.0015105740181268882
numer,1.0,0.0015105740181268882
badg,1.0,0.0015105740181268882
browni,1.0,0.0015105740181268882
scout,1.0,0.0015105740181268882
inspir,1.0,0.0015105740181268882
space,1.0,0.0015105740181268882
race,1.0,0.0015105740181268882
sent,1.0,0.0015105740181268882
letter,1.0,0.0015105740181268882
nasa,1.0,0.0015105740181268882
around,1.0,0.0015105740181268882
ask,1.0,0.0015105740181268882
could,1.0,0.0015105740181268882
astronaut,1.0,0.0015105740181268882
onli,1.0,0.0015105740181268882
inform,1.0,0.0015105740181268882
accept,1.0,0.0015105740181268882
east,1.0,0.0015105740181268882
council,1.0,0.0015105740181268882
newspap,1.0,0.0015105740181268882
select,1.0,0.0015105740181268882
honor,1.0,0.0015105740181268882
societi,1.0,0.0015105740181268882
vice,1.0,0.0015105740181268882
junior,1.0,0.0015105740181268882
boy,1.0,0.0015105740181268882
told,1.0,0.0015105740181268882
realli,1.0,0.0015105740181268882
stupid,1.0,0.0015105740181268882
think,1.0,0.0015105740181268882
transfer,1.0,0.0015105740181268882
thennew,1.0,0.0015105740181268882
merit,1.0,0.0015105740181268882
finalist,1.0,0.0015105740181268882
succeed,1.0,0.0015105740181268882
top,1.0,0.0015105740181268882
five,1.0,0.0015105740181268882
percent,1.0,0.0015105740181268882
want,1.0,0.0015105740181268882
profession,1.0,0.0015105740181268882
career,1.0,0.0015105740181268882
otherwis,1.0,0.0015105740181268882
traditionalist,1.0,0.0015105740181268882
felt,1.0,0.0015105740181268882
hi,1.0,0.0015105740181268882
daughter,1.0,0.0015105740181268882
abil,1.0,0.0015105740181268882
opportun,1.0,0.0015105740181268882
limit,1.0,0.0015105740181268882
household,1.0,0.0015105740181268882
canvass,1.0,0.0015105740181268882
side,1.0,0.0015105740181268882
age,1.0,0.0015105740181268882
veri,1.0,0.0015105740181268882
investig,1.0,0.0015105740181268882
fellow,1.0,0.0015105740181268882
teenag,1.0,0.0015105740181268882
friend,1.0,0.0015105740181268882
shortli,1.0,0.0015105740181268882
evid,1.0,0.0015105740181268882
fraud,1.0,0.0015105740181268882
entri,1.0,0.0015105740181268882
show,1.0,0.0015105740181268882
dozen,1.0,0.0015105740181268882
address,1.0,0.0015105740181268882
empti,1.0,0.0015105740181268882
lot,1.0,0.0015105740181268882
richard,1.0,0.0015105740181268882
nixon,1.0,0.0015105740181268882
later,1.0,0.0015105740181268882
volunt,1.0,0.0015105740181268882
campaign,1.0,0.0015105740181268882
barri,1.0,0.0015105740181268882
earli,1.0,0.0015105740181268882
shape,1.0,0.0015105740181268882
mostli,1.0,0.0015105740181268882
histori,1.0,0.0015105740181268882
fervent,1.0,0.0015105740181268882
anticommunist,1.0,0.0015105740181268882
introduc,1.0,0.0015105740181268882
conscienc,1.0,0.0015105740181268882
youth,1.0,0.0015105740181268882
minist,1.0,0.0015105740181268882
concern,1.0,0.0015105740181268882
social,1.0,0.0015105740181268882
justic,1.0,0.0015105740181268882
afterward,1.0,0.0015105740181268882
briefli,1.0,0.0015105740181268882
civil,1.0,0.0015105740181268882
right,1.0,0.0015105740181268882
leader,1.0,0.0015105740181268882
martin,1.0,0.0015105740181268882
luther,1.0,0.0015105740181268882
king,1.0,0.0015105740181268882
jr,1.0,0.0015105740181268882
speech,1.0,0.0015105740181268882
orchestra,1.0,0.0015105740181268882
hall,1.0,0.0015105740181268882
